Course Code,Course Name,Description,Prerequisites
ACTG 352.,  Intermediate Accounting III.  4 Credits.,"Concepts and principles of financial accounting, including U.S. and international financial reporting standards; analysis of alternatives for income measurement and asset and liability valuation.Requisites:Prereq:ACTG 351,FIN 316.",None
ACTG 360.,  Cost Accounting.  4 Credits.,"Development and communication of cost information to assist in planning, motivating managers, controlling costs, and evaluating performance.Requisites:Prereq:BA 101Z,BA 213Z,BA 240,EC 201,EC 202,MATH 241,STAT 243Z;WR 122ZorWR 123.",None
ACTG 401.,  Research: [Topic].  1-21 Credits.,Repeatable.Repeatable 99 times,None
ACTG 403.,  Thesis.  1-12 Credits.,Repeatable.Repeatable 99 times,None
ACTG 405.,  Reading and Conference: [Topic].  1-12 Credits.,Repeatable.Repeatable 99 times,None
ACTG 406.,  Practicum: [Topic].  1-12 Credits.,Repeatable.Repeatable 99 times,None
ACTG 407.,  Seminar: [Topic].  4 Credits.,Repeatable.Repeatable 99 times,None
ACTG 408.,  Workshop: [Topic].  1-21 Credits.,Repeatable.Repeatable 99 times,None
ACTG 409.,  Terminal Project.  1-12 Credits.,Repeatable.Repeatable 99 times,None
ACTG 410.,  Experimental Course: [Topic].  1-4 Credits.,"A recent topic is Accounting Information Systems. Repeatable when the topic changes.Requisites:Prereq:BA 101Z,BA 213Z,BA 240,EC 201,EC 202,STAT 243Z; one fromMATH 241,MATH 246,MATH 251.Repeatable 99 times when topic changes",None
ACTG 425.,  Professional Ethics for Accountants.  4 Credits.,This course presents the ethical standards of the accounting profession with emphasis on contemporary issues confronting accountants and auditors including their social and ethical responsibilities.Requisites:Prereq:BA 213Z.,None
ACTG 440.,  Auditing.  4 Credits.,"The audit environment, examinations of financial statements, and the audit process. Includes professional standards, audit sampling, and the audit profession; concepts underlying professional ethics for auditors.Requisites:Prereq:ACTG 350.",None
ACTG 450.,  Advanced Financial Accounting.  4 Credits.,Accounting for equity; financial accounting and reporting for corporate consolidation.Requisites:Prereq:ACTG 352.,None
ACTG 460.,  Government & Not for Profit Accounting.  4 Credits.,"This course teaches differences in accounting and financial reporting for governmental and not-for-profit organizations and differences between private sector and public-sector accounting, standards-setting, meeting stakeholder needs.",None
ACTG 470.,  Federal Taxation.  4 Credits.,"Federal income tax law covering primarily the taxation of individuals with a focus on business invoice and property transactions. Introduction to tax planning.Requisites:Prereq:BA 101Z,BA 213Z,BA 240,EC 201,EC 202,MATH 241,STAT 243Z.",None
ACTG 480.,  Accounting Data Analytics I.  4 Credits.,"Focuses on the increased use of data analytics within the accounting profession, including an understanding of data analytic thinking, terminology and application.Requisites:Prereq:ACTG 350.",None
ACTG 503.,  Thesis.  1-16 Credits.,Repeatable.Repeatable 99 times,None
ACTG 510.,  Experimental Course: [Topic].  1-4 Credits.,A recent topic is Accounting Information Systems. Repeatable when the topic changes.Repeatable 99 times,None
ACTG 525.,  Professional Ethics for Accountants.  4 Credits.,This course presents the ethical standards of the accounting profession with emphasis on contemporary issues confronting accountants and auditors including their social and ethical responsibilities.,None
ACTG 540.,  Auditing.  4 Credits.,"The audit environment, examinations of financial statements, and the audit process. Includes professional standards, audit sampling, and the audit profession; concepts underlying professional ethics for auditors.",None
ACTG 550.,  Advanced Financial Accounting.  4 Credits.,Accounting for equity; financial accounting and reporting for corporate consolidation.,None
ACTG 560.,  Government & Not for Profit Accounting.  4 Credits.,"This course teaches differences in accounting and financial reporting for governmental and not-for-profit organizations and differences between private sector and public-sector accounting, standards-setting, meeting stakeholder needs.",None
ACTG 570.,  Federal Taxation.  4 Credits.,Federal income tax law covering primarily the taxation of individuals with a focus on business invoice and property transactions. Introduction to tax planning.,None
ACTG 580.,  Accounting Data Analytics I.  4 Credits.,"Focuses on the increased use of data analytics within the accounting profession, including an understanding of data analytic thinking, terminology and application.",None
ACTG 601.,  Research: [Topic].  1-16 Credits.,Repeatable.Repeatable 99 times,None
ACTG 603.,  Dissertation.  1-16 Credits.,Repeatable.Repeatable 99 times,None
ACTG 605.,  Reading and Conference: [Topic].  1-16 Credits.,Repeatable.Repeatable 99 times,None
ACTG 606.,  Practicum: [Topic].  1-16 Credits.,Repeatable.Repeatable 99 times,None
ACTG 607.,  Seminar: [Topic].  1-5 Credits.,Current Research in Accounting is a recent topic. Repeatable.Repeatable 99 times,None
ACTG 608.,  Workshop: [Topic].  1-16 Credits.,Repeatable.Repeatable 99 times,None
ACTG 609.,  Terminal Project.  1-12 Credits.,Repeatable.Repeatable 99 times,None
ACTG 610.,  Experimental Course: [Topic].  1-5 Credits.,"Recent topics include Developing the Business Professional, International Accounting, Tax Pass-Through Entities. Repeatable when the topic changes.Repeatable 99 times",None
ACTG 612.,  Financial Accounting.  3 Credits.,Introduces the accounting model and financial statements for external users.  Emphasizes the use of accounting information in valuation and performance evaluation.Requisites:Prereq:BA 211Zor equivalent.,None
ACTG 616.,  Tax Research.  4 Credits.,"Introduces tax law, tax authority, and how to research complex tax issues. Emphasizes development of professional research memorandums and advising clients on tax strategies.Requisites:Prereq:ACTG 570orACTG 617.",None
ACTG 617.,  Taxation of Business.  4 Credits.,"Taxation of business entities (C corporations, partnerships, S corporations, and limited liability companies) as they form, operate, and dissolve.",None
ACTG 618.,  Taxes and Business Strategy.  4 Credits.,"How to use economic analysis as a tax planning tool, thereby incorporating tax factors in economic decisions.Requisites:Prereq:ACTG 617.",None
ACTG 619.,  Taxation of Pass Through Entities.  4 Credits.,"Designed for accountants, managers, and entrepreneurs, covers basics of taxation of partnerships, S corporations and their shareholders, and trusts and their beneficiaries. Also covers taxation of exempt entities. Students cannot receive credit for bothACTG 619andLAW 681.",None
ACTG 625.,  Financial Reporting.  3 Credits.,In-depth coverage of the measurement and disclosure principles used to prepare generally accepted accounting principle-based financial statements.Requisites:Prereq: MBA core introduction to accounting courses or equivalent.,None
ACTG 630.,  Accounting Measurement and Disclosure.  4 Credits.,Recent Financial Accounting Standings Board decisions; current measurement and disclosure conflicts facing the accounting profession. Includes exposure to governmental and not-for-profit accounting issues.,None
ACTG 631.,  Financial Statement Analysis and Valuation.  4 Credits.,Examines the role of accounting information in financial decisions. Highlights valuation's relationship to accounting earnings and book value.,None
ACTG 642.,  Advanced Assurance Services.  4 Credits.,"Knowledge and application of generally accepted accounting principles and generally accepted auditing standards systems, design and flow charting, work paper preparation and review, oral and written presentation, and application of judgment.Requisites:Prereq:ACTG 540.",None
ACTG 662.,  Strategic Cost Management.  4 Credits.,Theory and application of management accounting techniques to decisions made under uncertainty in complex business environments.,None
ACTG 681.,  Accounting Data & Analytics II.  4 Credits.,"Leveraging skills and knowledge developed inACTG 580, this course focuses on enabling students to successfully engage with an iterative process to more effectively perform and communicate analytics across increasingly complex scenarios, producing actionable results that consider risks related to data quality, privacy and misinterpretation.Requisites:Prereq:ACTG 580.",None
ACTG 682.,  Accounting Data & Analytics III.  4 Credits.,"Leveraging prior coursework, accounting students are challenged to initiate and complete end-to-end data analytics projects, with more reliance on self-directed problem solving, incorporating aspects of visual perception and principles of design to tell stories with data that influence business leaders through actionable insights. Sequence withACTG 580,ACTG 681.Requisites:Prereq:ACTG 580,ACTG 681.",None
AFR 196.,  Field Studies: [Topic].  1-5 Credits.,Repeatable.Repeatable 99 times,None
AFR 198.,  Workshop: [Topic].  1-5 Credits.,Repeatable.Repeatable 99 times,None
AFR 199.,  Special Studies: [Topic].  1-5 Credits.,Repeatable.Repeatable 99 times,None
AFR 215.,  Introduction to African Studies.  4 Credits.,"Introduction to the interdisciplinary field of African studies. Evaluates the social, cultural, political, economic and environmental diversity of and issues affecting historical and contemporary Africa and African peoples.Additional Information:Social Science AreaCultural Literacy: Global Perspectives",None
AFR 399.,  Special Studies: [Topic].  1-5 Credits.,Repeatable.Repeatable 99 times,None
AFR 401.,  Research: [Topic].  1-12 Credits.,Repeatable.Repeatable 99 times,None
AFR 403.,  Thesis.  1-12 Credits.,Repeatable.Repeatable 99 times,None
AFR 404.,  Internship: [Topic].  1-12 Credits.,Repeatable.Repeatable 99 times,None
AFR 405.,  Reading and Conference: [Topic].  1-12 Credits.,Repeatable.Repeatable 99 times,None
AFR 406.,  Field Studies: [Topic].  1-12 Credits.,Repeatable.Repeatable 99 times,None
AFR 407.,  Seminar: [Topic].  1-5 Credits.,Repeatable.Repeatable 99 times,None
AFR 408.,  Workshop: [Topic].  1-12 Credits.,Repeatable.Repeatable 99 times,None
AFR 409.,  Terminal Project.  1-12 Credits.,Repeatable.Repeatable 99 times,None
AFR 410.,  Experimental Course.  1-5 Credits.,Repeatable.Repeatable 99 times,None
AFR 503.,  Thesis.  1-12 Credits.,Repeatable.Repeatable 99 times,None
AFR 507.,  Seminar: [Topic].  1-5 Credits.,Repeatable.Repeatable 99 times,None
AFR 508.,  Workshop: [Topic].  1-12 Credits.,Repeatable.Repeatable 99 times,None
AFR 510.,  Experimental Course.  1-5 Credits.,Repeatable.Repeatable 99 times,None
AFR 601.,  Research: [Topic].  1-4 Credits.,Repeatable.Repeatable 99 times,None
AFR 603.,  Dissertation.  1-9 Credits.,Repeatable.Repeatable 99 times,None
AFR 604.,  Internship: [Topic].  1-4 Credits.,Repeatable once for a maximum of 8 credits.Repeatable 1 time for a maximum of 8 credits,None
AFR 605.,  Reading and Conference: [Topic].  1-16 Credits.,Repeatable.Repeatable 99 times,None
AFR 606.,  Field Studies: [Topic].  1-4 Credits.,Repeatable once for a maximum of 8 credits.Repeatable 1 time for a maximum of 8 credits,None
AFR 609.,  Terminal Project.  1-16 Credits.,Repeatable.Repeatable 99 times,None
ASL 101.,  First-Year American Sign Language.  5 Credits.,"Study of basic grammatical structure and vocabulary of American Sign Language, expressive and receptive finger-spelling, and introduction to American deaf culture.Requisites:Prereq:WR 122ZorWR 123orHC 221HorHC 231H.",None
ASL 102.,  First-Year American Sign Language.  5 Credits.,"Increased receptive and expressive communication skills in ASL, and study of cultural values and behavioral rules of the deaf community.Requisites:Prereq:ASL 101or equivalent.",None
ASL 103.,  First-Year American Sign Language.  5 Credits.,Concentration on understanding and acquiring advanced conversational proficiency. Emphasis on ASL classifiers. Continued study of deaf culture as a linguistic minority.Requisites:Prereq:ASL 102or equivalent.,None
ASL 201.,  Second-Year American Sign Language.  4 Credits.,"Applied conversational use of ASL through literature, narratives, poetry, and plays. Explores various underlying metaphors found in ASL literature.Requisites:Prereq:ASL 103or equivalent.Additional Information:BA Language or Arts & Letters Area",None
ASL 202.,  Second-Year American Sign Language.  4 Credits.,Emphasis on more abstract and challenging conversational and narrative ranges. Lab and readings cover historical aspects of deaf community and culture.Requisites:Prereq:ASL 201or equivalent.Additional Information:BA Language or Arts & Letters Area,None
ASL 203.,  Second-Year American Sign Language.  4 Credits.,Further emphasis on more abstract and challenging conversational and narrative ranges. Explores broader political and social activities of international deaf community.Requisites:Prereq:ASL 202or equivalent.Additional Information:BA Language or Arts & Letters AreaBA Language Satisfying Course,None
ASL 301.,  American Deaf Culture.  4 Credits.,"Study of the relationship between small groups and dominant culture in the United States. Explore issues of language, culture, self-representation, identity, and social structure.Additional Information:Cultural Literacy: US: Difference, Inequality, Agency",None
ASL 399.,  Special Studies: [Topic].  1-5 Credits.,Repeatable.Repeatable 99 times,None
ANTH 110.,  Introduction to Traditional Ecological Knowledge.  4 Credits.,"Traditional ecological knowledge (TEK) includes moral precepts that guide interaction with the local ecosystem, skill and knowledge sets used for resource extraction and management, and expressive media used for knowledge transmission. This course integrates Indigenous and Western perspectives to examine TEK in global perspective.Additional Information:Science AreaCultural Literacy: Global Perspectives",None
ANTH 114.,  Anthropology of Pirates and Piracy.  4 Credits.,"Examines the political and economic origins and legacies of piracy through 500 years of history in the Americas, Europe, and Africa.Additional Information:Social Science AreaCultural Literacy: Global Perspectives",None
ANTH 119.,  Anthropology and Aliens.  4 Credits.,"Examines how anthropology and speculative fiction have mutually constituted each other historically as each explores culture and society, and what makes us human.Additional Information:Social Science Area",None
ANTH 145.,  Principles of Archaeology.  4 Credits.,Introduction to archaeology methods and interpretation.Additional Information:Science Area,None
ANTH 150.,  World Archaeology.  4 Credits.,Introduction to prehistoric societies and cultural change through the examination of archaeological case studies from around the world. Taught once or more per academic year.Additional Information:Social Science AreaCultural Literacy: Global Perspectives,None
ANTH 161.,  Introduction to Cultural Anthropology.  4 Credits.,A first look into the work of cultural anthropology and an introduction to the cultural diversity of the world.Additional Information:Social Science AreaCultural Literacy: Global Perspectives,None
ANTH 163.,  Origins of Storytelling.  4 Credits.,Application of evolutionary thinking to the origins and function of literature.Additional Information:Science AreaCultural Literacy: Global Perspectives,None
ANTH 165.,  Sexuality and Culture.  4 Credits.,"Examines sexuality through the historical, cultural, economic, and political factors that contribute to the construction of sexual identities, relationships, and institutions.Additional Information:Social Science AreaCultural Literacy: Global Perspectives",None
ANTH 170.,  Introduction to Human Origins.  4 Credits.,Homo sapiens as a living organism; biological evolution and genetics; fossil hominids.Additional Information:Science Area,None
ANTH 171.,  Introduction to Monkeys and Apes.  4 Credits.,"Evolutionary biology of the primates: the fossil record and ecology in the age of mammals, primate anatomy, locomotor feeding adaptations, taxonomic relations, primate ethology, primate conservationAdditional Information:Science Area",None
ANTH 173.,  Evolution of Human Sexuality.  4 Credits.,"Includes basic genetics, physiology, and behavior. Evolution of sex, of the sexes, and of the role of sex in mammal, primate, and human behavior.Additional Information:Science AreaCultural Literacy: Global Perspectives",None
ANTH 175.,  Evolutionary Medicine.  4 Credits.,Focuses on the application of evolutionary thinking to the study of human health and disease.Additional Information:Science Area,None
ANTH 176.,  Introduction to Forensic Anthropology.  4 Credits.,"Introduction to human skeletal analysis and its application in a legal context, using biological and anthropological approaches to the recovery and identificationof human remains.Additional Information:Science Area",None
ANTH 196.,  Field Studies: [Topic].  1-2 Credits.,Repeatable.Repeatable 99 times,None
ANTH 198.,  Laboratory Projects: [Topic].  1-12 Credits.,Repeatable.Repeatable 99 times,None
ANTH 199.,  Special Studies: [Topic].  1-5 Credits.,Repeatable.Repeatable 99 times,None
ANTH 199L.,  Special Studies: [Topic].  4 Credits.,Repeatable.Repeatable 99 times,None
ANTH 209.,  Business Anthropology.  4 Credits.,"This course provides a comprehensive overview of business anthropology on a range of topics including entrepreneurship, finance capital, multinational corporations, and race/gender in business. Readings and discussions will focus on how to apply anthropological knowledge to solve real-world business problems.Requisites:Prereq:ANTH 161.Additional Information:Social Science AreaCultural Literacy: Global Perspectives",None
ANTH 220.,  Introduction to Nutritional Anthropology.  4 Credits.,"Human nutrition from a biocultural anthropological perspective, including the relationship of food consumption patterns to evolution, contemporary issues relating to malnutrition, and diseases of nutrition.Additional Information:Science AreaCultural Literacy: Global Perspectives",None
ANTH 255.,"  Atlantis, Aliens, and Archaeology.  4 Credits.","Critically examines pseudoscientific examples of archaeology using case studies from around the world (e.g. the lost city of Atlantis, ancient aliens) and explores how proper scientific archaeological research is conducted.Additional Information:Science Area",None
ANTH 260.,  Domestic Animals.  4 Credits.,"Explores human relationships with domestic animals, examining the domestication process and the effects of animal domestication on human society.Additional Information:Science Area",None
ANTH 270.,  Introduction to Biological Anthropology.  4 Credits.,"Examines the biological aspects of the human species from comparative, ecological, and evolutionary perspectives. Explores theoretical and methodological issues in biological anthropology.Additional Information:Science Area",None
ANTH 274.,  Animals and People.  4 Credits.,"Explores contemporary and historical examples of human-animal interactions around the globe from a cross-cultural perspective. We analyze the influences of culture and biology on these interactions, explore perspectives, and engage in hypothesis testing.Additional Information:Science AreaCultural Literacy: Global Perspectives",None
ANTH 278.,"  Science, Race, and Society.  4 Credits.","Understanding past scientific attitudes on racial variation helps place modern concepts of human diversity and racial segregation in a broader anthropological and scientific context.Additional Information:Science AreaCultural Literacy: US: Difference, Inequality, Agency",None
ANTH 311.,  Anthropology of Globalization.  4 Credits.,"Introduces students to a wide range of issues related to economic, cultural, and ideological aspects of globalization.Requisites:Prereq:ANTH 161.Additional Information:Social Science AreaCultural Literacy: Global Perspectives",None
ANTH 315.,"  Gender, Folklore, Inequality.  4 Credits.","Cross-cultural exploration of the expressive and artistic realm of women's lives. Topics include life-cycle rituals, religion, healing, verbal arts, crafts, and music.Additional Information:Social Science AreaCultural Literacy: Global Perspectives",None
ANTH 320.,  Native North Americans.  4 Credits.,"Interpretive approach to accomplishments, diversity, and survival of precontact, postcontact, and present-day American Indian peoples. Impact of Euro-American stereotypes on politics and identity.Requisites:Prereq:ANTH 161.Additional Information:Social Science AreaCultural Literacy: US: Difference, Inequality, Agency",None
ANTH 329.,  Immigration and Farmworkers.  4 Credits.,"Mexican farmworkers in the United States, their history and living and working conditions explored within the political culture of immigration. Introductory social science course recommended.Additional Information:Social Science AreaCultural Literacy: US: Difference, Inequality, Agency",None
ANTH 330.,  Hunters and Gatherers.  4 Credits.,"Survey of contemporary hunter-gatherer societies. Foraging, decision-making, exchange, prestige, marriage, gender roles, parenting, history, and demography in an ecological and evolutionary perspective.Additional Information:Social Science AreaCultural Literacy: Global Perspectives",None
ANTH 331.,  Cultures of India and South Asia.  4 Credits.,"Survey of contemporary South Asia's religious and cultural diversity, issues of ethnic identity, gender construction, social conflict, and politics of poverty.Additional Information:Social Science AreaCultural Literacy: Global Perspectives",None
ANTH 332.,  Human Attraction and Mating Strategies.  4 Credits.,"Evolutionary theory, experimental and real-world data illuminate what we find attractive in others, variation in who we are attracted to, and why.Additional Information:Science Area",None
ANTH 340.,  Fundamentals of Archaeology.  4 Credits.,"Methods modern archaeology uses to reconstruct the past, including background research, field methods, laboratory analyses, and interpreting data.Requisites:Prereq:ANTH 145orANTH 150.Additional Information:Science Area",None
ANTH 341.,  Food Origins.  4 Credits.,"Biological, ecological, and social dimensions of plant-animal domestication and the environmental impact of agriculture in the Late Pleistocene-Holocene epochs.Additional Information:Science Area",None
ANTH 342.,  Archaeology of Egypt and Near East.  4 Credits.,The archaeology of ancient Egypt and the Near East.Additional Information:Social Science AreaCultural Literacy: Global Perspectives,None
ANTH 343.,  Pacific Islands Archaeology.  4 Credits.,Archaeology and prehistoric cultural development of Pacific island peoples from earliest settlement through early Western contact. Emphasizes Southeast Asian cultural foundations and ecological adaptations.Requisites:Prereq:ANTH 145orANTH 150.Additional Information:Social Science Area,None
ANTH 344.,  Oregon Archaeology.  4 Credits.,"Native American cultural history of Oregon based on archaeological evidence. Environmental and ecological factors that condition human adaptations and contemporary cultural resource protection.Additional Information:Social Science AreaCultural Literacy: US: Difference, Inequality, Agency",None
ANTH 345.,  Archaeology of East Asia.  4 Credits.,Explores the evolution of diverse cultures and ethnic identities in East Asia during prehistoric and early historical times.Additional Information:Social Science Area,None
ANTH 346.,  Archaeology of Southeast Asia.  4 Credits.,Explores the evolution of the diverse cultures of Southeast Asia during the prehistoric and early historic periods.Additional Information:Social Science AreaCultural Literacy: Global Perspectives,None
ANTH 349.,  Origins of Art.  4 Credits.,Examines prehistoric and recent hunter-gatherer art to understand the role that art behavior played in ancestral human life.Additional Information:Science AreaCultural Literacy: Global Perspectives,None
ANTH 361.,  Human Evolution.  4 Credits.,Fossil evidence of human evolution; Homo sapiens' place among the primates; variability of populations of fossil hominids.Requisites:Prereq:ANTH 170orANTH 270.Additional Information:Science Area,None
ANTH 362.,  Human Biological Variation.  4 Credits.,Genetic and biological structure of human populations; population dynamics and causes of diversity; analysis of genetically differentiated human populations and their geographic distribution.Additional Information:Science AreaCultural Literacy: Global Perspectives,None
ANTH 365.,  Food and Culture.  4 Credits.,Anthropological approach to the role of nutrients in human development (individual and group); cultural determinants and differences among populations; world food policy; applied nutritional anthropology.,None
ANTH 366.,  Human Osteology Laboratory.  4 Credits.,"Introduction to the human skeleton from the perspective of biological anthropology. This course uses anatomical, developmental, and evolutionary approaches to understand fundamental aspects of human biology in general, as well as the individuals represented by skeletal remains.Requisites:Prereq: one fromANTH 170,ANTH 176,ANTH 270,HPHY 321.",None
ANTH 369.,  Human Growth and Development.  4 Credits.,"Examines key issues in human and nonhuman primate growth and development; addresses genetic, social and ecological determinants of variation in growth.Additional Information:Science Area",None
ANTH 373.,  Psychoactive Substances in Ancient Societies.  4 Credits.,"Global review of psychoactive substances in past human societies, including the paraphernalia, iconography, and residues of drugs found in the archaeological record.Requisites:Prereq:ANTH 145orANTH 150.Additional Information:Social Science Area",None
ANTH 376.,  Decoding Your Genome.  4 Credits.,"Explores what genomic data can tell us about human variation and evolution, and discusses how genomics is currently used in our daily lives.Requisites:Prereq: one fromANTH 175,ANTH 270,BI 211,BI 282H.Additional Information:Science Area",None
ANTH 399.,  Special Studies: [Topic].  1-5 Credits.,Repeatable.Repeatable 99 times,None
ANTH 399L.,  Special Studies: [Topic].  4 Credits.,Repeatable when subject changesRepeatable 99 times,None
ANTH 400M.,  Temporary Multilisted Course.  1-5 Credits.,Repeatable.Repeatable 99 times,None
ANTH 401.,  Research: [Topic].  1-21 Credits.,Repeatable.Repeatable 99 times,None
ANTH 403.,  Thesis.  1-12 Credits.,Repeatable.Repeatable 99 times,None
ANTH 405.,  Special Problems: [Topic].  1-12 Credits.,Repeatable.Repeatable 99 times,None
ANTH 406.,  Field Studies: [Topic].  1-12 Credits.,Repeatable.Repeatable 99 times,None
ANTH 407.,  Seminar: [Topic].  1-5 Credits.,Repeatable.Repeatable 99 times,None
ANTH 408.,  Workshop: [Topic].  1-21 Credits.,Repeatable.Repeatable 99 times,None
ANTH 409.,  Terminal Project.  1-12 Credits.,Repeatable.Repeatable 99 times,None
ANTH 410.,  Experimental Course: [Topic].  1-5 Credits.,Repeatable.Repeatable 99 times,None
ANTH 417.,  Field Methods in Cultural Anthropology.  4 Credits.,"Techniques of participant observation, community definition and extension, nondirective interviewing, and establishing rapport. Provides theoretical perspectives and emphasizes investigator's ethical responsibilities.Requisites:Prereq: 8 credits of upper-division cultural anthropology.",None
ANTH 420.,"  Culture, Illness, and Healing.  4 Credits.","Cultural foundations of illness and healing. Attempts to analyze illness experiences, looks at therapies cross-culturally, and examines the nature of healing.Requisites:Prereq:ANTH 161.Additional Information:Cultural Literacy: Global Perspectives",None
ANTH 425.,"  Migrant, Citizen, Refugee.  4 Credits.","This course introduces students to the anthropological study of migration. Students will study both early and contemporary intellectual trends in the study of migration, including “globalization,” “transnationalism,” “diaspora,” “borderlands,” “transmigration,” and “imagined community,” through relevant ethnographic case studies from the U.S., with global comparisons.Requisites:Prereq:ANTH 161.Additional Information:Cultural Literacy: US: Difference, Inequality, Agency",None
ANTH 427M.,  Latino Roots I.  4 Credits.,Documents Latino history in the racial history of what is now Oregon since 1500 and teaches students to conduct oral history interviews. Multilisted withJCOM 427M. Sequence withANTH 428M. Offered alternate years.Equivalent to:JCOM 427M,None
ANTH 428M.,  Latino Roots II.  4 Credits.,"Continuation of Latino Roots I, designed for producing a short documentary using oral history as the story. Covers basic theory and practice of digital film-video documentary production. Multilisted withJCOM 428M. Sequence withANTH 427M. Offered alternate years.Requisites:Prereq:ANTH 427MorJCOM 427M.Equivalent to:JCOM 428M",None
ANTH 434.,  Indigenous Peoples of South America.  4 Credits.,"Contact period and contemporary ethnography of native peoples; ecological adaptation, socioeconomic organization, and culture change.Requisites:Prereq:ANTH 161orANTH 330.Additional Information:Cultural Literacy: Global Perspectives",None
ANTH 438.,  Race and Gender in Latin America.  4 Credits.,"Examines intersecting systems of race, gender, ethnicity, and nationalism through 600 years of Latin American history, focusing on five countries in three regions.",None
ANTH 441.,  Recent Cultural Theory.  4 Credits.,"Survey of various cultural frameworks: Durkheimian, Marxian, feminist, transnationalism, Orientalism.Requisites:Prereq: 8 credits in social science.",None
ANTH 442.,  Northwest Coast Archaeology.  4 Credits.,"This course examines the more than 12,000-year-old archaeological record of the Northwest Coast of North America. We begin by establishing the ecological and ethnographic background for the region and then study how these have shaped archaeologists' ideas about the past. Next, we study the contents of sites and consider the relationship between data, interpretation, and theory. Throughout the term, we discuss the dynamics of contact and colonialism.Requisites:Prereq:ANTH 145orANTH 150.Additional Information:Cultural Literacy: US: Difference, Inequality, Agency",None
ANTH 446.,  Practical Archaeobotany.  4 Credits.,Investigates interactions between human-plant populations in the past; laboratory training of analyzing plant fossils in archaeologial contexts.,None
ANTH 448.,  Gender and Archaeology.  4 Credits.,"Discussion of gender as a focus of archaeological theory, method, and interpretation. Examination of case studies from around the world.Requisites:Prereq:ANTH 145orANTH 150.Additional Information:Cultural Literacy: Global Perspectives",None
ANTH 449.,  Cultural Resource Management.  4 Credits.,"Objectives, legal background, operational problems, ethical and scholarly considerations in the management of prehistoric and historic cultural resources.Requisites:Prereq:ANTH 145orANTH 150.",None
ANTH 453.,  African Archaeology.  4 Credits.,"The archaeology of humans in Africa with an emphasis on the past 15,000 years.",None
ANTH 456.,  Peopling of the Americas.  4 Credits.,"Reviews anthropological methods of the Americas including biological, genetic, archaeological, and paleoenvironmental evidence.Requisites:Prereq:ANTH 145orANTH 150.",None
ANTH 459.,  Advanced Evolutionary Medicine.  4 Credits.,"Explores current research in the field of evolutionary medicine.Requisites:Prereq: one fromANTH 175,ANTH 270, ANTH 468,BI 380;ANTH 175strongly suggested.",None
ANTH 463.,  Primate Behavior.  4 Credits.,"Ecology and ethology of free-ranging primates. Classification, distribution, and ecological relationships of living primates; social structure and social organizations.Requisites:Prereq:ANTH 171orANTH 270.",None
